"","SqlTrace"
"6790","exec sp_cursoroption 180152439,1,0"
"6791","exec sp_cursorfetch 180152439,16,1,1"
"6792","exec sp_cursorclose 180152439"
"6793","declare @p1 int
set @p1=180152685
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' Select  * from GMP_PARTENAIRES  where Traitement=''1'' and ID_Partenaire <>''''  and Resolution_Code<>''''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6794","exec sp_cursorfetch 180152685,16,1,1"
"6795","exec sp_cursorclose 180152685"
"6796","declare @p1 int
set @p1=180152687
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentPartenaires FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6797","exec sp_cursorfetch 180152687,16,1,1"
"6798","exec sp_cursorclose 180152687"
"6799","declare @p1 int
set @p1=180220343
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=31
exec sp_cursoropen @p1 output,N'select Description, promotionID from gmp_rabais where DateFin >= CONVERT(DATETIME,''2016-11-10'')order by description',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6800","exec sp_cursorfetch 180220343,16,1,32"
"6801","exec sp_cursorfetch 180220343,16,32,1"
"6802","exec sp_cursorfetch 180220343,16,1,32"
"6803","exec sp_cursorfetch 180220343,16,32,1"
"6804","exec sp_cursorfetch 180220343,16,1,32"
"6805","exec sp_cursorfetch 180220343,16,32,1"
"6806","exec sp_cursorfetch 180220343,16,1,32"
"6807","exec sp_cursorfetch 180220343,16,32,1"
"6808","declare @p1 int
set @p1=180220345
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=4
exec sp_cursoropen @p1 output,N'select Sub_4,Equipment_Type,Sub_3,Manufacturer_ID, estVenteSeulement from SV00405 Where Historique = 0 and Usager = 0  AND EstCVAC= 0 AND EstSPA= 0 AND EstNHS = 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6809","exec sp_cursorfetch 180220345,16,1,5"
"6810","exec sp_cursorfetch 180220345,16,5,5"
"6811","exec sp_cursorfetch 180220345,16,1,1"
"6812","exec sp_cursorfetch 180220345,16,2,1"
"6813","exec sp_cursorfetch 180220345,16,3,1"
"6814","exec sp_cursorfetch 180220345,16,4,1"
"6815","exec sp_cursorfetch 180220345,16,5,1"
"6816","exec sp_cursorclose 180220345"
"6817","declare @p1 int
set @p1=180152441
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6818","exec sp_cursorfetch 180152441,16,1,1"
"6819","exec sp_cursorclose 180152441"
"6820","declare @p1 int
set @p1=180152443
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem IN (''SOUMISSION CHAUFFAGE'', ''SOUMISSION CLIMATISATION'')',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6821","exec sp_cursorfetch 180152443,16,1,1"
"6822","exec sp_cursorclose 180152443"
"6823","declare @p1 int
set @p1=180152445
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem = ''REPARATION DU CHAUFFE-EAU''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6824","exec sp_cursorfetch 180152445,16,1,1"
"6825","exec sp_cursorclose 180152445"
"6826","declare @p1 int
set @p1=180152447
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT ea.*, ear.EigenResponseMsg, ear.EigenWsAgentStatus  FROM gmp_eigen_agent_WsResp ear   INNER JOIN gmp_eigen_agent ea on ea.InvoiceID= ear.InvoiceID WHERE EigenWsAgentStatus= 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6827","exec sp_cursoroption 180152447,1,0"
"6828","exec sp_cursorfetch 180152447,16,1,1"
"6829","exec sp_cursorclose 180152447"
"6830","declare @p1 int
set @p1=180152689
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentPartenaires FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6831","exec sp_cursorfetch 180152689,16,1,1"
"6832","exec sp_cursorclose 180152689"
"6833","declare @p1 int
set @p1=180152449
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6834","exec sp_cursorfetch 180152449,16,1,1"
"6835","exec sp_cursorclose 180152449"
"6836","declare @p1 int
set @p1=180152451
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem IN (''SOUMISSION CHAUFFAGE'', ''SOUMISSION CLIMATISATION'')',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6837","exec sp_cursorfetch 180152451,16,1,1"
"6838","exec sp_cursorclose 180152451"
"6839","declare @p1 int
set @p1=180152453
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem = ''REPARATION DU CHAUFFE-EAU''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6840","exec sp_cursorfetch 180152453,16,1,1"
"6841","exec sp_cursorclose 180152453"
"6842","declare @p1 int
set @p1=180152455
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT ea.*, ear.EigenResponseMsg, ear.EigenWsAgentStatus  FROM gmp_eigen_agent_WsResp ear   INNER JOIN gmp_eigen_agent ea on ea.InvoiceID= ear.InvoiceID WHERE EigenWsAgentStatus= 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6843","exec sp_cursoroption 180152455,1,0"
"6844","exec sp_cursorfetch 180152455,16,1,1"
"6845","exec sp_cursorclose 180152455"
"6846","declare @p1 int
set @p1=180220347
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'select * from gmp_rabais where promotionID = ''P0000089''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6847","exec sp_cursoroption 180220347,1,0"
"6848","exec sp_cursorfetch 180220347,16,1,1"
"6849","exec sp_cursoroption 180220347,3,19"
"6850","exec sp_cursor 180220347,40,1"
"6851","exec sp_cursor 180220347,40,1"
"6852","exec sp_cursoroption 180220347,3,20"
"6853","exec sp_cursor 180220347,40,1"
"6854","exec sp_cursor 180220347,40,1"
"6855","exec sp_cursoroption 180220347,3,21"
"6856","exec sp_cursor 180220347,40,1"
"6857","exec sp_cursor 180220347,40,1"
"6858","exec sp_cursoroption 180220347,3,22"
"6859","exec sp_cursor 180220347,40,1"
"6860","exec sp_cursor 180220347,40,1"
"6861","exec sp_cursorclose 180220347"
"6862","declare @p1 int
set @p1=180220349
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'select divisionvente, divisionlocation from gmp_SV00310 where Problem_ID = 556 and Type_of_Problem = ''ACH40G40$''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6863","exec sp_cursorfetch 180220349,16,1,1"
"6864","exec sp_cursorclose 180220349"
"6865","declare @p1 int
set @p1=180220351
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_RABAISWEB_EQUIPEMENT WHERE PromotionID = ''P0000089''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6866","exec sp_cursorfetch 180220351,16,1,1"
"6867","exec sp_cursorfetch 180220351,16,1,1"
"6868","declare @p1 int
set @p1=180220353
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'select * from GMP_RABAIS_TYPE where promotionID = ''P0000089''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6869","exec sp_cursorfetch 180220353,16,1,1"
"6870","exec sp_cursorclose 180220353"
"6871","declare @p1 int
set @p1=180220355
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'select GMP_RABAIS.description, GMP_RABAIS_LIEN.datedebut, GMP_RABAIS_LIEN.datefin, PromotionID2 from GMP_RABAIS_LIEN inner join GMP_RABAIS on GMP_RABAIS.promotionID = GMP_RABAIS_LIEN.promotionID2 Where promotionID1 = ''P0000089'' And promotionID2 <> ''P0000089''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6872","exec sp_cursorfetch 180220355,16,1,1"
"6873","exec sp_cursorclose 180220355"
"6874","exec sp_cursorclose 180220351"
"6875","declare @p1 int
set @p1=180152691
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentPartenaires FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6876","exec sp_cursorfetch 180152691,16,1,1"
"6877","exec sp_cursorclose 180152691"
"6878","declare @p1 int
set @p1=180152457
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6879","exec sp_cursorfetch 180152457,16,1,1"
"6880","exec sp_cursorclose 180152457"
"6881","declare @p1 int
set @p1=180152459
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem IN (''SOUMISSION CHAUFFAGE'', ''SOUMISSION CLIMATISATION'')',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6882","exec sp_cursorfetch 180152459,16,1,1"
"6883","exec sp_cursorclose 180152459"
"6884","declare @p1 int
set @p1=180152461
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem = ''REPARATION DU CHAUFFE-EAU''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6885","exec sp_cursorfetch 180152461,16,1,1"
"6886","exec sp_cursorclose 180152461"
"6887","declare @p1 int
set @p1=180152463
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT ea.*, ear.EigenResponseMsg, ear.EigenWsAgentStatus  FROM gmp_eigen_agent_WsResp ear   INNER JOIN gmp_eigen_agent ea on ea.InvoiceID= ear.InvoiceID WHERE EigenWsAgentStatus= 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6888","exec sp_cursoroption 180152463,1,0"
"6889","exec sp_cursorfetch 180152463,16,1,1"
"6890","exec sp_cursorclose 180152463"
"6891","declare @p1 int
set @p1=180152693
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentPartenaires FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6892","exec sp_cursorfetch 180152693,16,1,1"
"6893","exec sp_cursorclose 180152693"
"6894","declare @p1 int
set @p1=180152465
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6895","exec sp_cursorfetch 180152465,16,1,1"
"6896","exec sp_cursorclose 180152465"
"6897","declare @p1 int
set @p1=180152467
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem IN (''SOUMISSION CHAUFFAGE'', ''SOUMISSION CLIMATISATION'')',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6898","exec sp_cursorfetch 180152467,16,1,1"
"6899","exec sp_cursorclose 180152467"
"6900","declare @p1 int
set @p1=180152469
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem = ''REPARATION DU CHAUFFE-EAU''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6901","exec sp_cursorfetch 180152469,16,1,1"
"6902","exec sp_cursorclose 180152469"
"6903","declare @p1 int
set @p1=180152471
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT ea.*, ear.EigenResponseMsg, ear.EigenWsAgentStatus  FROM gmp_eigen_agent_WsResp ear   INNER JOIN gmp_eigen_agent ea on ea.InvoiceID= ear.InvoiceID WHERE EigenWsAgentStatus= 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6904","exec sp_cursoroption 180152471,1,0"
"6905","exec sp_cursorfetch 180152471,16,1,1"
"6906","exec sp_cursorclose 180152471"
"6907","declare @p1 int
set @p1=180152695
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentPartenaires FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6908","exec sp_cursorfetch 180152695,16,1,1"
"6909","exec sp_cursorclose 180152695"
"6910","exec sp_cursorclose 180220343"
"6911","declare @p1 int
set @p1=180220357
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=31
exec sp_cursoropen @p1 output,N'select Description, promotionID from gmp_rabais where DateFin >= CONVERT(DATETIME,''2016-11-10'')order by description',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6912","exec sp_cursorfetch 180220357,16,1,32"
"6913","exec sp_cursorfetch 180220357,16,32,1"
"6914","exec sp_cursorfetch 180220357,16,1,32"
"6915","exec sp_cursorfetch 180220357,16,32,1"
"6916","exec sp_cursorfetch 180220357,16,1,32"
"6917","exec sp_cursorfetch 180220357,16,32,1"
"6918","exec sp_cursorfetch 180220357,16,1,32"
"6919","exec sp_cursorfetch 180220357,16,32,1"
"6920","declare @p1 int
set @p1=180220359
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=4
exec sp_cursoropen @p1 output,N'select Sub_4,Equipment_Type,Sub_3,Manufacturer_ID, estVenteSeulement from SV00405 Where Historique = 0 and Usager = 0  AND EstCVAC= 0 AND EstSPA= 0 AND EstNHS = 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6921","exec sp_cursorfetch 180220359,16,1,5"
"6922","exec sp_cursorfetch 180220359,16,5,5"
"6923","exec sp_cursorfetch 180220359,16,1,1"
"6924","exec sp_cursorfetch 180220359,16,2,1"
"6925","exec sp_cursorfetch 180220359,16,3,1"
"6926","exec sp_cursorfetch 180220359,16,4,1"
"6927","exec sp_cursorfetch 180220359,16,5,1"
"6928","exec sp_cursorclose 180220359"
"6929","declare @p1 int
set @p1=180152473
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6930","exec sp_cursorfetch 180152473,16,1,1"
"6931","exec sp_cursorclose 180152473"
"6932","declare @p1 int
set @p1=180152475
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem IN (''SOUMISSION CHAUFFAGE'', ''SOUMISSION CLIMATISATION'')',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6933","exec sp_cursorfetch 180152475,16,1,1"
"6934","exec sp_cursorclose 180152475"
"6935","declare @p1 int
set @p1=180152477
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem = ''REPARATION DU CHAUFFE-EAU''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6936","exec sp_cursorfetch 180152477,16,1,1"
"6937","exec sp_cursorclose 180152477"
"6938","declare @p1 int
set @p1=180152479
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT ea.*, ear.EigenResponseMsg, ear.EigenWsAgentStatus  FROM gmp_eigen_agent_WsResp ear   INNER JOIN gmp_eigen_agent ea on ea.InvoiceID= ear.InvoiceID WHERE EigenWsAgentStatus= 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6939","exec sp_cursoroption 180152479,1,0"
"6940","exec sp_cursorfetch 180152479,16,1,1"
"6941","exec sp_cursorclose 180152479"
"6942","declare @p1 int
set @p1=180152697
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentPartenaires FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6943","exec sp_cursorfetch 180152697,16,1,1"
"6944","exec sp_cursorclose 180152697"
"6945","declare @p1 int
set @p1=180220361
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N'SELECT Distinct RTrim(TypeTarifID) TypeTarifID, RTrim(Description) Description, DateEffectif FROM GMP_TYPESTARIFS tt INNER JOIN GMP_TARIF t on t.COL002= tt.TypeTarifID    AND TAR_COA_CODE IN (''446'') WHERE EstSPA= 0 AND (Actif = ''1'') ORDER BY DateEffectif',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6946","exec sp_cursorfetch 180220361,16,1,3"
"6947","exec sp_cursorfetch 180220361,16,3,3"
"6948","exec sp_cursorfetch 180220361,16,1,1"
"6949","exec sp_cursorfetch 180220361,16,2,1"
"6950","exec sp_cursorfetch 180220361,16,3,1"
"6951","exec sp_cursorclose 180220361"
"6952","declare @p1 int
set @p1=180220363
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N'SELECT Distinct RTrim(TypeTarifID) TypeTarifID, RTrim(Description) Description, DateEffectif FROM GMP_TYPESTARIFS tt INNER JOIN GMP_TARIF t on t.COL002= tt.TypeTarifID    AND TAR_COA_CODE IN (''446'', ''249'') WHERE EstSPA= 0 AND (Actif = ''1'') ORDER BY DateEffectif',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6953","exec sp_cursorfetch 180220363,16,1,3"
"6954","exec sp_cursorfetch 180220363,16,3,3"
"6955","exec sp_cursorfetch 180220363,16,1,1"
"6956","exec sp_cursorfetch 180220363,16,2,1"
"6957","exec sp_cursorfetch 180220363,16,3,1"
"6958","exec sp_cursorclose 180220363"
"6959","declare @p1 int
set @p1=180220365
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N'SELECT Distinct RTrim(TypeTarifID) TypeTarifID, RTrim(Description) Description, DateEffectif FROM GMP_TYPESTARIFS tt INNER JOIN GMP_TARIF t on t.COL002= tt.TypeTarifID    AND TAR_COA_CODE IN (''446'', ''249'', ''246'') WHERE EstSPA= 0 AND (Actif = ''1'') ORDER BY DateEffectif',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6960","exec sp_cursorfetch 180220365,16,1,3"
"6961","exec sp_cursorfetch 180220365,16,3,3"
"6962","exec sp_cursorfetch 180220365,16,1,1"
"6963","exec sp_cursorfetch 180220365,16,2,1"
"6964","exec sp_cursorfetch 180220365,16,3,1"
"6965","exec sp_cursorclose 180220365"
"6966","declare @p1 int
set @p1=180220367
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N'SELECT Distinct RTrim(TypeTarifID) TypeTarifID, RTrim(Description) Description, DateEffectif FROM GMP_TYPESTARIFS tt INNER JOIN GMP_TARIF t on t.COL002= tt.TypeTarifID    AND TAR_COA_CODE IN (''446'', ''249'', ''246'', ''244'') WHERE EstSPA= 0 AND (Actif = ''1'') ORDER BY DateEffectif',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6967","exec sp_cursorfetch 180220367,16,1,3"
"6968","exec sp_cursorfetch 180220367,16,3,3"
"6969","exec sp_cursorfetch 180220367,16,1,1"
"6970","exec sp_cursorfetch 180220367,16,2,1"
"6971","exec sp_cursorfetch 180220367,16,3,1"
"6972","exec sp_cursorclose 180220367"
"6973","declare @p1 int
set @p1=180152481
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6974","exec sp_cursorfetch 180152481,16,1,1"
"6975","exec sp_cursorclose 180152481"
"6976","declare @p1 int
set @p1=180152483
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem IN (''SOUMISSION CHAUFFAGE'', ''SOUMISSION CLIMATISATION'')',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6977","exec sp_cursorfetch 180152483,16,1,1"
"6978","exec sp_cursorclose 180152483"
"6979","declare @p1 int
set @p1=180152485
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem = ''REPARATION DU CHAUFFE-EAU''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6980","exec sp_cursorfetch 180152485,16,1,1"
"6981","exec sp_cursorclose 180152485"
"6982","declare @p1 int
set @p1=180152487
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT ea.*, ear.EigenResponseMsg, ear.EigenWsAgentStatus  FROM gmp_eigen_agent_WsResp ear   INNER JOIN gmp_eigen_agent ea on ea.InvoiceID= ear.InvoiceID WHERE EigenWsAgentStatus= 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6983","exec sp_cursoroption 180152487,1,0"
"6984","exec sp_cursorfetch 180152487,16,1,1"
"6985","exec sp_cursorclose 180152487"
"6986","declare @p1 int
set @p1=180152699
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentPartenaires FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6987","exec sp_cursorfetch 180152699,16,1,1"
"6988","exec sp_cursorclose 180152699"
"6989","declare @p1 int
set @p1=180152489
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6990","exec sp_cursorfetch 180152489,16,1,1"
"6991","exec sp_cursorclose 180152489"
"6992","declare @p1 int
set @p1=180152491
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem IN (''SOUMISSION CHAUFFAGE'', ''SOUMISSION CLIMATISATION'')',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6993","exec sp_cursorfetch 180152491,16,1,1"
"6994","exec sp_cursorclose 180152491"
"6995","declare @p1 int
set @p1=180152493
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem = ''REPARATION DU CHAUFFE-EAU''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6996","exec sp_cursorfetch 180152493,16,1,1"
"6997","exec sp_cursorclose 180152493"
"6998","declare @p1 int
set @p1=180152495
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT ea.*, ear.EigenResponseMsg, ear.EigenWsAgentStatus  FROM gmp_eigen_agent_WsResp ear   INNER JOIN gmp_eigen_agent ea on ea.InvoiceID= ear.InvoiceID WHERE EigenWsAgentStatus= 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"6999","exec sp_cursoroption 180152495,1,0"
"7000","exec sp_cursorfetch 180152495,16,1,1"
"7001","exec sp_cursorclose 180152495"
"7002","declare @p1 int
set @p1=180220369
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' SELECT t1.TaxDtlID tTax, t2.TxDtlPct PctTax FROM tx00102 t1     INNER JOIN tx00201 t2 on t1.TaxDtlID = t2.TaxDtlID WHERE TaxSchid= ''TPS-TVQ/V'' ORDER BY t2.Dex_Row_ID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"7003","exec sp_cursorfetch 180220369,16,1,1"
"7004","exec sp_cursorfetch 180220369,16,2,1"
"7005","exec sp_cursorfetch 180220369,16,3,1"
"7006","exec sp_cursorclose 180220369"
"7007","declare @p1 int
set @p1=180152701
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentPartenaires FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"7008","exec sp_cursorfetch 180152701,16,1,1"
"7009","exec sp_cursorclose 180152701"
